player_name,transfermarkt_id,transfermarkt_url,first_tier_debut_date,first_tier_debut_age,first_tier_debut_age,first_tier_debut_competition,second_tier_debut_date,second_tier_debut_age,second_tier_debut_age,second_tier_debut_competition,debut_age_transfermarket,explanation
Tim Cahill,13556,https://www.transfermarkt.com/tim-cahill/profil/spieler/13556,30/08/2004,24 years 08 months 24 days,24,Premier League,11/8/2001,21,21,First Division (until 03/04),21,first scrap players
Gary Caldwell,3791,https://www.transfermarkt.com/gary-caldwell/profil/spieler/3791,16/01/2010,27 years 09 months 04 days,27,Premier League,31/08/2002,20,20,First Division (until 03/04),20,first scrap players
Steven Caldwell,3462,https://www.transfermarkt.com/steven-caldwell/profil/spieler/3462,30/09/2000,20 years 18 days,20,Premier League,8/12/2001,21,21,First Division (until 03/04),20,first scrap players
DJ Campbell,37896,https://www.transfermarkt.com/dj-campbell/profil/spieler/37896,4/2/2006,24 years 02 months 23 days,24,Premier League,5/8/2006,24,24,Championship,24,first scrap players
Fraizer Campbell,42411,https://www.transfermarkt.com/fraizer-campbell/profil/spieler/42411,19/08/2007,19 years 11 months 06 days,19,Premier League,23/08/2006,18,18,Challenger Pro League,18,first scrap players
Sol Campbell,3198,https://www.transfermarkt.com/sol-campbell/profil/spieler/3198,5/12/1992,18 years 02 months 17 days,18,Premier League,No second tier career,No second tier career,No second tier career,No second tier career,18,first scrap players
John Carew,3570,https://www.transfermarkt.com/john-carew/profil/spieler/3570,13/04/1998,18 years 07 months 08 days,18,Eliteserien,21/08/2011,31,31,Championship,18,first scrap players
David Carney,10387,https://www.transfermarkt.com/david-carney/profil/spieler/10387,2/9/2005,21 years 09 months 03 days,21,A-League Men,18/09/2007,23,23,Championship,21,first scrap players
Stephen Carr,4046,https://www.transfermarkt.com/stephen-carr/profil/spieler/4046,26/09/1993,17 years 28 days,17,Premier League,24/02/2009,32,32,Championship,17,first scrap players
Jamie Carragher,3597,https://www.transfermarkt.com/jamie-carragher/profil/spieler/3597,11/1/1997,18 years 11 months 14 days,18,Premier League,No second tier career,No second tier career,No second tier career,No second tier career,18,first scrap players
Michael Carrick,3878,https://www.transfermarkt.com/michael-carrick/profil/spieler/3878,28/08/1999,18 years 01 month 00 days,18,Premier League,12/11/1999,18,18,,18,first scrap players
Andy Carroll,48066,https://www.transfermarkt.com/andy-carroll/profil/spieler/48066,25/02/2007,18 years 01 month 19 days,18,Premier League,18/08/2007,18,18,Championship,18,first scrap players
Scott Carson,14555,https://www.transfermarkt.com/scott-carson/profil/spieler/14555,31/01/2004,18 years 04 months 28 days,18,Premier League,11/3/2006,20,20,Championship,18,first scrap players
Craig Cathcart,59606,https://www.transfermarkt.com/craig-cathcart/profil/spieler/59606,14/08/2010,21 years 06 months 08 days,21,Premier League,15/09/2007,18,18,Challenger Pro League,18,first scrap players
Lee Cattermole,37363,https://www.transfermarkt.com/lee-cattermole/profil/spieler/37363,2/1/2006,17 years 09 months 12 days,17,Premier League,4/8/2017,29,29,Championship,17,first scrap players
Marek Čech,21354,https://www.transfermarkt.com/marek-ech/profil/spieler/21354,7/8/2004,21 years 06 months 12 days,21,Fortuna Liga,8/8/2009,26,26,Championship,21,first scrap players
Petr Čech,5658,https://www.transfermarkt.com/petr-ech/profil/spieler/5658,30/10/1999,17 years 05 months 10 days,17,,No second tier career,No second tier career,No second tier career,No second tier career,17,first scrap players
Marouane Chamakh,19085,https://www.transfermarkt.com/marouane-chamakh/profil/spieler/19085,8/2/2003,19 years 29 days,19,Ligue 1,19/10/2016,32,32,Championship,19,first scrap players
Pascal Chimbonda,18875,https://www.transfermarkt.com/pascal-chimbonda/profil/spieler/18875,29/04/2000,21 years 02 months 08 days,21,Ligue 1,12/8/2000,21,21,Ligue 2,21,first scrap players
Ciaran Clark,98240,https://www.transfermarkt.com/ciaran-clark/profil/spieler/98240,30/08/2009,19 years 11 months 04 days,19,Premier League,17/08/2016,26,26,Championship,19,first scrap players
Tom Cleverley,73484,https://www.transfermarkt.com/tom-cleverley/profil/spieler/73484,11/9/2010,21 years 30 days,21,Premier League,18/08/2009,20,20,Championship,20,first scrap players
Gaël Clichy,7449,https://www.transfermarkt.com/gal-clichy/profil/spieler/7449,22/11/2003,18 years 03 months 27 days,18,Premier League,No second tier career,No second tier career,No second tier career,No second tier career,18,first scrap players
Tamir Cohen,24209,https://www.transfermarkt.com/tamir-cohen/profil/spieler/24209,25/11/2002,18 years 08 months 21 days,18,Ligat ha'Al,No second tier career,No second tier career,No second tier career,No second tier career,18,first scrap players
Jack Colback,61644,https://www.transfermarkt.com/jack-colback/profil/spieler/61644,9/5/2010,20 years 06 months 15 days,20,Premier League,22/08/2009,19,19,Championship,19,first scrap players
Ashley Cole,3182,https://www.transfermarkt.com/ashley-cole/profil/spieler/3182,14/05/2000,19 years 04 months 24 days,19,Premier League,26/02/2000,19,19,,19,first scrap players
Carlton Cole,3179,https://www.transfermarkt.com/carlton-cole/profil/spieler/3179,6/4/2002,18 years 05 months 25 days,18,Premier League,30/11/2002,19,19,First Division (until 03/04),18,first scrap players
Joe Cole,3876,https://www.transfermarkt.com/joe-cole/profil/spieler/3876,10/1/1999,17 years 02 months 02 days,17,Premier League,10/7/2016,34,34,NASL Fall Championship,17,first scrap players
Séamus Coleman,68390,https://www.transfermarkt.com/samus-coleman/profil/spieler/68390,17/10/2006,18 years 06 days,18,Premier Division,20/03/2010,21,21,Championship,18,first scrap players
Danny Collins,26183,https://www.transfermarkt.com/danny-collins/profil/spieler/26183,5/11/2005,25 years 02 months 30 days,25,Premier League,25/10/2004,24,24,Championship,24,first scrap players
James Collins,12691,https://www.transfermarkt.com/james-collins/profil/spieler/12691,29/10/2005,22 years 02 months 06 days,22,Premier League,9/8/2003,19,19,First Division (until 03/04),19,first scrap players
Jack Collison,61568,https://www.transfermarkt.com/jack-collison/profil/spieler/61568,1/1/2008,19 years 02 months 30 days,19,Premier League,7/8/2011,22,22,Championship,19,first scrap players
Fabricio Coloccini,6150,https://www.transfermarkt.com/fabricio-coloccini/profil/spieler/6150,27/10/2004,22 years 09 months 05 days,22,Serie A,8/8/2009,27,27,Championship,22,first scrap players
Jordan Cook,61646,https://www.transfermarkt.com/jordan-cook/profil/spieler/61646,26/12/2010,20 years 09 months 06 days,20,Premier League,18/08/2012,22,22,Championship,20,first scrap players
Vedran Ćorluka,34393,https://www.transfermarkt.com/vedran-orluka/profil/spieler/34393,24/07/2004,18 years 05 months 19 days,18,SuperSport HNL,No second tier career,No second tier career,No second tier career,No second tier career,18,first scrap players
Manuel da Costa,37398,https://www.transfermarkt.com/manuel-da-costa/profil/spieler/37398,11/1/2006,19 years 08 months 05 days,19,Ligue 1,23/01/2022,35,35,Challenger Pro League,19,first scrap players
Simon Cox,37150,https://www.transfermarkt.com/simon-cox/profil/spieler/37150,14/08/2010,23 years 03 months 17 days,23,Premier League,26/11/2005,18,18,Championship,18,first scrap players
Jody Craddock,4129,https://www.transfermarkt.com/jody-craddock/profil/spieler/4129,20/11/1999,24 years 03 months 26 days,24,Premier League,18/10/1997,22,22,,22,first scrap players
Stephen Crainey,9499,https://www.transfermarkt.com/stephen-crainey/profil/spieler/9499,11/3/2000,18 years 08 months 18 days,18,,14/08/2004,23,23,Championship,18,first scrap players
Peter Crouch,4072,https://www.transfermarkt.com/peter-crouch/profil/spieler/4072,30/03/2002,21 years 02 months 00 days,21,Premier League,12/8/2000,19,19,,19,first scrap players
Carlo Cudicini,3151,https://www.transfermarkt.com/carlo-cudicini/profil/spieler/3151,20/10/1996,23 years 01 month 14 days,23,Serie A,16/11/1997,24,24,Serie B,23,first scrap players
Carlos Cuéllar,16576,https://www.transfermarkt.com/carlos-cullar/profil/spieler/16576,19/10/2003,22 years 01 month 26 days,22,LaLiga,21/10/2001,20,20,Segunda División,20,first scrap players
Scott Dann,62688,https://www.transfermarkt.com/scott-dann/profil/spieler/62688,19/09/2009,22 years 07 months 05 days,22,Premier League,2/2/2008,20,20,Championship,20,first scrap players
Curtis Davies,18227,https://www.transfermarkt.com/curtis-davies/profil/spieler/18227,17/09/2005,20 years 06 months 02 days,20,Premier League,6/8/2005,20,20,Championship,20,first scrap players
Kevin Davies,4114,https://www.transfermarkt.com/kevin-davies/profil/spieler/4114,9/8/1997,20 years 04 months 14 days,20,Premier League,7/8/1999,22,22,,20,first scrap players
Mark Davies,36917,https://www.transfermarkt.com/mark-davies/profil/spieler/36917,28/01/2009,20 years 11 months 10 days,20,Premier League,20/08/2005,17,17,Championship,17,first scrap players
Simon Davies,4056,https://www.transfermarkt.com/simon-davies/profil/spieler/4056,9/4/2000,20 years 05 months 17 days,20,Premier League,No second tier career,No second tier career,No second tier career,No second tier career,20,first scrap players
Michael Dawson,9988,https://www.transfermarkt.com/michael-dawson/profil/spieler/9988,16/04/2005,21 years 04 months 29 days,21,Premier League,1/4/2002,18,18,First Division (until 03/04),18,first scrap players
Jermain Defoe,3875,https://www.transfermarkt.com/jermain-defoe/profil/spieler/3875,19/05/2001,18 years 07 months 12 days,18,Premier League,9/8/2003,20,20,First Division (until 03/04),18,first scrap players
Nathan Delfouneso,62642,https://www.transfermarkt.com/nathan-delfouneso/profil/spieler/62642,15/03/2009,18 years 01 month 13 days,18,Premier League,8/3/2011,20,20,Championship,18,first scrap players
Fabian Delph,50362,https://www.transfermarkt.com/fabian-delph/profil/spieler/50362,15/08/2009,19 years 08 months 25 days,19,Premier League,6/5/2007,17,17,Championship,17,first scrap players
Mousa Dembélé,19368,https://www.transfermarkt.com/mousa-dembl/profil/spieler/19368,24/04/2004,16 years 09 months 08 days,16,Jupiler Pro League,No second tier career,No second tier career,No second tier career,No second tier career,16,first scrap players
Ishmel Demontagnac,42188,https://www.transfermarkt.com/ishmel-demontagnac/profil/spieler/42188,21/08/2010,22 years 02 months 06 days,22,Premier League,15/08/2009,21,21,Championship,21,first scrap players
Clint Dempsey,27577,https://www.transfermarkt.com/clint-dempsey/profil/spieler/27577,3/4/2004,21 years 25 days,21,Major League Soccer,No second tier career,No second tier career,No second tier career,No second tier career,21,first scrap players
Edwin van der Sar,3516,https://www.transfermarkt.com/edwin-van-der-sar/profil/spieler/3516,23/04/1991,20 years 05 months 25 days,20,Eredivisie,No second tier career,No second tier career,No second tier career,No second tier career,20,first scrap players
Rafael van der Vaart,4192,https://www.transfermarkt.com/rafael-van-der-vaart/profil/spieler/4192,19/04/2000,17 years 02 months 08 days,17,Eredivisie,No second tier career,No second tier career,No second tier career,No second tier career,17,first scrap players
Matt Derbyshire,15175,https://www.transfermarkt.com/matt-derbyshire/profil/spieler/15175,7/5/2005,19 years 23 days,19,Premier League,10/9/2005,19,19,Championship,19,first scrap players
Franco Di Santo,59783,https://www.transfermarkt.com/franco-di-santo/profil/spieler/59783,3/9/2006,17 years 04 months 27 days,17,Torneo Clausura (-2017),No second tier career,No second tier career,No second tier career,No second tier career,17,first scrap players
Abou Diaby,26763,https://www.transfermarkt.com/abou-diaby/profil/spieler/26763,14/08/2004,18 years 03 months 03 days,18,Ligue 1,No second tier career,No second tier career,No second tier career,No second tier career,18,first scrap players
Alessandro Diamanti,23197,https://www.transfermarkt.com/alessandro-diamanti/profil/spieler/23197,25/08/2007,24 years 03 months 23 days,24,Serie A,2/10/2004,21,21,Serie B,21,first scrap players
Mohamed Diamé,70950,https://www.transfermarkt.com/mohamed-diam/profil/spieler/70950,22/08/2009,22 years 02 months 08 days,22,Premier League,30/08/2008,21,21,Segunda División,21,first scrap players
Salif Diao,3600,https://www.transfermarkt.com/salif-diao/profil/spieler/3600,2/8/1997,20 years 05 months 23 days,20,Ligue 1,11/8/1996,19,19,Ligue 2,19,first scrap players
Kagisho Dikgacoi,63285,https://www.transfermarkt.com/kagisho-dikgacoi/profil/spieler/63285,9/9/2006,21 years 09 months 16 days,21,DStv Premiership,19/02/2011,26,26,Championship,21,first scrap players
Sylvain Distin,3356,https://www.transfermarkt.com/sylvain-distin/profil/spieler/3356,28/07/2000,22 years 07 months 12 days,22,Ligue 1,31/07/1999,21,21,Ligue 2,21,first scrap players
Johan Djourou,34561,https://www.transfermarkt.com/johan-djourou/profil/spieler/34561,14/01/2006,18 years 11 months 27 days,18,Premier League,No second tier career,No second tier career,No second tier career,No second tier career,18,first scrap players
Graham Dorrans,36608,https://www.transfermarkt.com/graham-dorrans/profil/spieler/36608,14/05/2005,18 years 09 days,18,Scottish Premiership,19/08/2006,19,19,Scottish Championship,18,first scrap players
Giovani dos Santos,44674,https://www.transfermarkt.com/giovani-dos-santos/profil/spieler/44674,2/9/2007,18 years 03 months 22 days,18,LaLiga,14/03/2009,19,19,Championship,18,first scrap players
Stewart Downing,4063,https://www.transfermarkt.com/stewart-downing/profil/spieler/4063,24/04/2002,17 years 09 months 02 days,17,Premier League,1/11/2003,19,19,First Division (until 03/04),17,first scrap players
Colin Doyle,28728,https://www.transfermarkt.com/colin-doyle/profil/spieler/28728,12/8/2007,22 years 02 months 00 days,22,Premier League,16/04/2005,19,19,Championship,19,first scrap players
Kevin Doyle,35193,https://www.transfermarkt.com/kevin-doyle/profil/spieler/35193,25/11/2001,18 years 02 months 07 days,18,SSE Airtricity League Premier Division,6/8/2005,21,21,Championship,18,first scrap players
Didier Drogba,3924,https://www.transfermarkt.com/didier-drogba/profil/spieler/3924,30/01/2002,23 years 10 months 19 days,23,Ligue 1,22/05/1999,21,21,Ligue 2,21,first scrap players
Damien Duff,3259,https://www.transfermarkt.com/damien-duff/profil/spieler/3259,11/5/1997,18 years 02 months 09 days,18,Premier League,7/8/1999,20,20,,18,first scrap players
David Dunn,4243,https://www.transfermarkt.com/david-dunn/profil/spieler/4243,26/09/1998,18 years 08 months 30 days,18,Premier League,7/8/1999,19,19,,18,first scrap players
Richard Dunne,3807,https://www.transfermarkt.com/richard-dunne/profil/spieler/3807,11/1/1997,17 years 03 months 21 days,17,Premier League,11/8/2001,21,21,First Division (until 03/04),17,first scrap players
Kieron Dyer,3118,https://www.transfermarkt.com/kieron-dyer/profil/spieler/3118,7/8/1999,20 years 07 months 09 days,20,Premier League,26/12/1996,17,17,,17,first scrap players
Edin Džeko,28396,https://www.transfermarkt.com/edin-deko/profil/spieler/28396,20/02/2006,19 years 11 months 03 days,19,Fortuna Liga,No second tier career,No second tier career,No second tier career,No second tier career,19,first scrap players
Neal Eardley,49428,https://www.transfermarkt.com/neal-eardley/profil/spieler/49428,28/08/2010,21 years 09 months 22 days,21,Premier League,18/08/2009,20,20,Championship,20,first scrap players
Sylvan Ebanks-Blake,27621,https://www.transfermarkt.com/sylvan-ebanks-blake/profil/spieler/27621,15/08/2009,23 years 04 months 17 days,23,Premier League,21/01/2006,19,19,Challenger Pro League,19,first scrap players
